type	time	latitude	longitude	altitude (m)	name	desc
T	2023-09-16 19:43:48.001	38.992947500	-76.868957100	0.0		
T	2023-09-16 19:43:49.001	38.992947500	-76.868957100	0.0		
T	2023-09-16 19:43:50	38.992947500	-76.868957100	0.0		
T	2023-09-16 19:43:51.001	38.992947500	-76.868957100	0.0		
T	2023-09-16 19:43:52.001	38.992947500	-76.868957100	0.0		
T	2023-09-16 19:43:53.012	38.992947500	-76.868957100	0.0		
T	2023-09-16 19:43:54	38.992947500	-76.868957100	0.0		
T	2023-09-16 19:43:55.001	38.992947500	-76.868957100	0.0		
T	2023-09-16 19:43:56.001	38.992947500	-76.868957100	0.0		
T	2023-09-16 19:43:57.001	38.992947500	-76.868957100	0.0		
T	2023-09-16 19:43:58	38.992947500	-76.868957100	0.0		
T	2023-09-16 19:43:59	38.992947500	-76.868957100	0.0		
T	2023-09-16 19:44:00.001	38.992947500	-76.868957100	0.0		
T	2023-09-16 19:44:01.001	38.992947500	-76.868957100	0.0		
T	2023-09-16 19:44:02.001	38.992947500	-76.868957100	0.0		
T	2023-09-16 19:44:03.002	38.992947500	-76.868957100	0.0		
T	2023-09-16 19:44:04.001	38.992947500	-76.868957100	0.0		
T	2023-09-16 19:44:05.001	38.992947500	-76.868957100	0.0		
T	2023-09-16 19:44:06.001	38.992947500	-76.868957100	0.0		
T	2023-09-16 19:44:07.002	38.992947500	-76.868957100	0.0		
T	2023-09-16 19:44:08.001	38.992947500	-76.868957100	0.0		
T	2023-09-16 19:44:09.001	38.992947500	-76.868957100	0.0		
T	2023-09-16 19:44:10.001	38.992947500	-76.868957100	0.0		
T	2023-09-16 19:44:11.001	38.992947500	-76.868957100	0.0		
T	2023-09-16 19:44:12.001	38.992945500	-76.868945300	0.0		
T	2023-09-16 19:44:13.001	38.992945500	-76.868945300	0.0		
T	2023-09-16 19:44:14.001	38.992945500	-76.868945300	0.0		
T	2023-09-16 19:44:15.001	38.992945500	-76.868945300	0.0		
T	2023-09-16 19:44:16.001	38.992945500	-76.868945300	0.0		
T	2023-09-16 19:44:17.001	38.992945500	-76.868945300	0.0		
T	2023-09-16 19:44:18.002	38.992945500	-76.868945300	0.0		
T	2023-09-16 19:44:19	38.992945500	-76.868945300	0.0		
T	2023-09-16 19:44:20.001	38.992945500	-76.868945300	0.0		
T	2023-09-16 19:44:21.001	38.992945500	-76.868945300	0.0		
T	2023-09-16 19:44:22	38.992945500	-76.868945300	0.0		
T	2023-09-16 19:44:23.001	38.992954800	-76.868947600	0.0		
T	2023-09-16 19:44:24.001	38.992967000	-76.868948600	0.0		
T	2023-09-16 19:44:25.001	38.992967000	-76.868948600	0.0		
T	2023-09-16 19:44:26	38.992999500	-76.868935500	0.0		
T	2023-09-16 19:44:27	38.993026900	-76.868925800	0.0		
T	2023-09-16 19:44:28	38.993026900	-76.868925800	0.0		
T	2023-09-16 19:44:29.001	38.993055300	-76.868911300	0.0		
T	2023-09-16 19:44:30.001	38.993087700	-76.868888200	0.0		
T	2023-09-16 19:44:31.001	38.993125000	-76.868866500	0.0		
T	2023-09-16 19:44:32.001	38.993164200	-76.868843400	0.0		
T	2023-09-16 19:44:33.001	38.993164200	-76.868843400	0.0		
T	2023-09-16 19:44:34.001	38.993218200	-76.868810300	0.0		
T	2023-09-16 19:44:35.001	38.993242700	-76.868783700	0.0		
T	2023-09-16 19:44:36.001	38.993263900	-76.868751100	0.0		
T	2023-09-16 19:44:37	38.993291900	-76.868708100	0.0		
T	2023-09-16 19:44:38.001	38.993291900	-76.868708100	0.0		
T	2023-09-16 19:44:39.001	38.993333600	-76.868666600	0.0		
T	2023-09-16 19:44:40	38.993397600	-76.868640100	0.0		
